pageId,caseId,role,state,surface,viewports,textScales,layoutChecks,visual,device
CM-001,CM-001-hub-anchor-normal,anchor,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-001,CM-001-hub-guildChair-normal,guildChair,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-001,CM-001-hub-ordinary-normal,ordinary,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-011,CM-011-anchor-normal,anchor,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-011,CM-011-guildChair-normal,guildChair,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-011,CM-011-ordinary-normal,ordinary,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-anchor-empty,anchor,empty,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-anchor-error,anchor,error,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-anchor-loading,anchor,loading,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-anchor-noAccount,anchor,noAccount,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-anchor-normal,anchor,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-anchor-unknown,anchor,unknown,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-guildChair-normal,guildChair,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-guildChair-unknown,guildChair,unknown,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-ordinary-normal,ordinary,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-ordinary-unknown,ordinary,unknown,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-payout-alipay-anchor-normal,anchor,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
CM-012,CM-012-payout-bank-anchor-normal,anchor,normal,asset-page,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-listener-interactions,listener,normal,interactions,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-listener-tools,listener,normal,tools,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-moderator-interactions,moderator,normal,interactions,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-moderator-tools,moderator,normal,tools,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-owner-interactions,owner,normal,interactions,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-owner-tools,owner,normal,tools,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-platformModerator-interactions,platformModerator,normal,interactions,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-004,RM-004-platformModerator-tools,platformModerator,normal,tools,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-005,RM-005-listener-approved,listener,approved,mic,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-005,RM-005-listener-available,listener,normal,mic,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-005,RM-005-listener-pending,listener,pending,mic,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-005,RM-005-listener-rejected,listener,rejected,mic,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-005,RM-005-moderator-direct,moderator,normal,mic,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
RM-005,RM-005-owner-direct,owner,normal,mic,375x667;390x844;402x874,1.0;1.3,6,representative 375x667 text1.3 inspected; not all pixels/all states,NOT_RUN
