page_id,id,group,state,render,device_pass
AC-005,AC-005-account-snapshot-error-normal-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-error-normal-ordinary.png,False
AC-005,AC-005-account-snapshot-loading-normal-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-loading-normal-ordinary.png,False
AC-005,AC-005-account-snapshot-normal-permission-denied-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""permission-denied"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-normal-permission-denied-ordinary.png,False
AC-005,AC-005-account-snapshot-normal-permission-granted-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""permission-granted"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-normal-permission-granted-ordinary.png,False
AC-005,AC-005-account-snapshot-normal-permission-notDetermined-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""permission-notDetermined"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-normal-permission-notDetermined-ordinary.png,False
AC-005,AC-005-account-snapshot-normal-permission-permanentlyDenied-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""permission-permanentlyDenied"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-normal-permission-permanentlyDenied-ordinary.png,False
AC-005,AC-005-account-snapshot-normal-permission-restricted-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""permission-restricted"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-normal-permission-restricted-ordinary.png,False
AC-005,AC-005-account-snapshot-normal-permission-unavailable-ordinary,state,"{""manifestId"": ""AC-005"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""permission-unavailable"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-005-account-snapshot-normal-permission-unavailable-ordinary.png,False
AC-006,AC-006-account-snapshot-error-normal-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-error-normal-ordinary.png,False
AC-006,AC-006-account-snapshot-loading-normal-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-loading-normal-ordinary.png,False
AC-006,AC-006-account-snapshot-normal-verification-pending-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""verification-pending"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-normal-verification-pending-ordinary.png,False
AC-006,AC-006-account-snapshot-normal-verification-rejected-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""verification-rejected"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-normal-verification-rejected-ordinary.png,False
AC-006,AC-006-account-snapshot-normal-verification-unavailable-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""verification-unavailable"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-normal-verification-unavailable-ordinary.png,False
AC-006,AC-006-account-snapshot-normal-verification-unverified-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""verification-unverified"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-normal-verification-unverified-ordinary.png,False
AC-006,AC-006-account-snapshot-normal-verification-verified-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""verification-verified"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-normal-verification-verified-ordinary.png,False
AC-007,AC-007-account-snapshot-empty-normal-ordinary,state,"{""manifestId"": ""AC-007"", ""readTarget"": ""account.snapshot"", ""state"": ""empty"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-007-account-snapshot-empty-normal-ordinary.png,False
AC-007,AC-007-account-snapshot-error-normal-ordinary,state,"{""manifestId"": ""AC-007"", ""readTarget"": ""account.snapshot"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-007-account-snapshot-error-normal-ordinary.png,False
